pooled chromatin,,,,pooled nuclei,,
ID,symbol,log2 fold enrichment,,ID,symbol,log2 fold enrichment
ENSG00000179172,HNRNPCL1,4.17,,ENSG00000162613,FUBP1,8.37
ENSG00000138668,HNRNPD,9.09,,ENSG00000107164,FUBP3,7.86
ENSG00000152795,HNRNPDL,8.99,,ENSG00000089280,FUS,6.16
ENSG00000169813,HNRNPF,7.34,,ENSG00000114416,FXR1,2.58
ENSG00000169045,HNRNPH1,7.84,,ENSG00000122068,FYTTD1,5.70
ENSG00000268642,HNRNPH2,6.52,,ENSG00000145907,G3BP1,4.22
ENSG00000096746,HNRNPH3,9.57,,ENSG00000138757,G3BP2,2.58
ENSG00000165119,HNRNPK,7.34,,ENSG00000109534,GAR1,2.00
ENSG00000104824,HNRNPL,9.88,,ENSG00000105373,GLTSCR2,2.81
ENSG00000143889,HNRNPLL,6.07,,ENSG00000134697,GNL2,2.58
ENSG00000099783,HNRNPM,8.77,,ENSG00000163938,GNL3,2.32
ENSG00000125944,HNRNPR,7.86,,ENSG00000144674,GOLGA4,3.32
ENSG00000153187,HNRNPU,6.92,,ENSG00000132463,GRSF1,7.22
ENSG00000105323,HNRNPUL1,6.07,,ENSG00000107937,GTPBP4,1.58
ENSG00000214753,HNRNPUL2,5.78,,ENSG00000115677,HDLBP,4.39
ENSG00000134709,HOOK1,2.81,,ENSG00000184357,HIST1H1B,1.87
ENSG00000159217,IGF2BP1,4.81,,ENSG00000124575,HIST1H1D,1.91
ENSG00000136231,IGF2BP3,2.81,,ENSG00000168298,HIST1H1E,4.25
ENSG00000143621,ILF2,7.62,,ENSG00000177733,HNRNPA0,5.35
ENSG00000129351,ILF3,6.97,,ENSG00000135486,HNRNPA1,4.19
ENSG00000143319,ISG20L2,1.58,,ENSG00000122566,HNRNPA2B1,3.93
ENSG00000073614,KDM5a,5.29,,ENSG00000170144,HNRNPA3,6.41
ENSG00000121774,KHDRBS1,7.16,,ENSG00000197451,HNRNPAB,5.84
ENSG00000088247,KHSRP,8.38,,ENSG00000092199,HNRNPC,6.73
ENSG00000080608,KIAA0020,3.46,,ENSG00000179172,HNRNPCL1,4.09
ENSG00000007202,KIAA0100,1.58,,ENSG00000138668,HNRNPD,6.65
ENSG00000111615,KRR1,2.00,,ENSG00000152795,HNRNPDL,4.57
ENSG00000187772,LIN28B,5.13,,ENSG00000169813,HNRNPF,5.39
ENSG00000015479,MATR3,7.76,,ENSG00000169045,HNRNPH1,3.80
ENSG00000152601,MBNL1,4.95,,ENSG00000268642,HNRNPH2,6.25
ENSG00000127804,METTL16,2.58,,ENSG00000096746,HNRNPH3,5.67
ENSG00000140259,MFAP1,4.91,,ENSG00000165119,HNRNPK,3.61
ENSG00000148773,MKI67,4.86,,ENSG00000104824,HNRNPL,6.68
ENSG00000124383,MPHOSPH10,3.46,,ENSG00000143889,HNRNPLL,6.19
ENSG00000153944,MSI2,2.00,,ENSG00000099783,HNRNPM,6.66
ENSG00000132382,MYBBP1A,4.46,,ENSG00000125944,HNRNPR,4.75
ENSG00000115053,NCL,7.20,,ENSG00000153187,HNRNPU,4.10
ENSG00000129460,NGDN,1.58,,ENSG00000105323,HNRNPUL1,5.25
ENSG00000145912,NHP2,1.58,,ENSG00000214753,HNRNPUL2,6.11
ENSG00000173145,NOC3L,3.00,,ENSG00000134709,HOOK1,4.46
ENSG00000115761,NOL10,2.58,,ENSG00000159217,IGF2BP1,7.38
ENSG00000130935,NOL11,1.58,,ENSG00000073792,IGF2BP2,3.58
ENSG00000166197,NOLC1,3.70,,ENSG00000136231,IGF2BP3,6.25
ENSG00000147140,NONO,8.41,,ENSG00000143621,ILF2,6.86
ENSG00000087269,NOP14,3.81,,ENSG00000129351,ILF3,2.41
ENSG00000048162,NOP16,2.00,,ENSG00000143319,ISG20L2,2.32
ENSG00000101361,NOP56,4.09,,ENSG00000073614,KDM5a,5.52
ENSG00000055044,NOP58,3.17,,ENSG00000121774,KHDRBS1,4.20
ENSG00000181163,NPM1,3.75,,ENSG00000088247,KHSRP,7.70
ENSG00000037474,NSUN2,2.32,,ENSG00000080608,KIAA0020,2.81
ENSG00000262589,NSUN5,1.58,,ENSG00000007202,KIAA0100,1.58
ENSG00000170515,PA2G4,1.58,,ENSG00000111615,KRR1,3.17
ENSG00000100836,PABPN1,5.83,,ENSG00000155506,LARP1,4.64
ENSG00000169564,PCBP1,5.21,,ENSG00000161813,LARP4,3.32
ENSG00000197111,PCBP2,5.43,,ENSG00000107929,LARP4B,1.58
ENSG00000148843,PDCD11,2.81,,ENSG00000116678,LEPR,2.32
ENSG00000100029,PES1,1.58,,ENSG00000187772,LIN28B,4.95
ENSG00000100410,PHF5A,3.58,,ENSG00000138095,LRPPRC,5.97
ENSG00000100941,PNN,4.46,,ENSG00000015479,MATR3,5.83
ENSG00000100227,POLDIP3,5.04,,ENSG00000152601,MBNL1,5.78
ENSG00000181222,POLR2A,3.58,,ENSG00000231135,MDC1,1.58
ENSG00000047315,POLR2B,3.00,,ENSG00000127804,METTL16,3.00
ENSG00000130810,PPAN,3.00,,ENSG00000140259,MFAP1,4.39
ENSG00000084072,PPIE,2.58,,ENSG00000148773,MKI67,6.21
ENSG00000138398,PPIG,2.81,,ENSG00000155363,MOV10,2.00
ENSG00000131013,PPIL4,4.75,,ENSG00000124383,MPHOSPH10,4.09
ENSG00000227804,PPP1R10,4.70,,ENSG00000172172,MRPL13,2.81
ENSG00000253729,PRKDC,4.58,,ENSG00000166902,MRPL16,1.58
ENSG00000134748,PRPF38A,2.32,,ENSG00000116221,MRPL37,2.00
ENSG00000112739,PRPF4B,2.32,,ENSG00000182154,MRPL41,3.46
ENSG00000174231,PRPF8,3.55,,ENSG00000198015,MRPL42,1.58
ENSG00000228186,PRR3,2.00,,ENSG00000173141,MRPL57,4.09
ENSG00000121390,PSPC1,7.69,,ENSG00000181610,MRPS23,2.32
ENSG00000011304,PTBP1,8.11,,ENSG00000144029,MRPS5,3.00
ENSG00000117569,PTBP2,4.09,,ENSG00000153944,MSI2,2.58
ENSG00000119314,PTBP3,6.30,,ENSG00000107951,MTPAP,1.58
ENSG00000187514,PTMA,2.00,,ENSG00000132382,MYBBP1A,4.09
ENSG00000260485,PUF60,6.98,,ENSG00000145414,NAF1,1.58
ENSG00000241945,PWP2,3.32,,ENSG00000115053,NCL,5.61
ENSG00000112531,QKI,3.81,,ENSG00000129460,NGDN,1.58
ENSG00000125970,RALY,8.27,,ENSG00000186416,NKRF,1.58
ENSG00000161847,RAVER1,7.41,,ENSG00000114857,NKTR,1.58
ENSG00000122257,RBBP6,1.58,,ENSG00000173145,NOC3L,4.00
ENSG00000100320,RBFOX2,3.58,,ENSG00000115761,NOL10,3.17
ENSG00000182872,RBM10,7.38,,ENSG00000198000,NOL8,2.32
ENSG00000183808,RBM12B,4.64,,ENSG00000166197,NOLC1,2.00
ENSG00000239306,RBM14,9.87,,ENSG00000147140,NONO,8.80
ENSG00000248643,RBM14-RBM4,7.69,,ENSG00000087269,NOP14,3.58
ENSG00000162775,RBM15,8.66,,ENSG00000048162,NOP16,2.58
ENSG00000259956,RBM15B,6.23,,ENSG00000111641,NOP2,1.66
ENSG00000122965,RBM19,5.88,,ENSG00000101361,NOP56,3.09
ENSG00000203867,RBM20,2.00,,ENSG00000055044,NOP58,2.39
ENSG00000086589,RBM22,7.09,,ENSG00000196943,NOP9,1.58
ENSG00000091009,RBM27,4.64,,ENSG00000262589,NSUN5,1.58
ENSG00000106344,RBM28,6.81,,ENSG00000167005,NUDT21,2.00
ENSG00000268489,RBM3,7.81,,ENSG00000185554,NXF2,1.58
ENSG00000188739,RBM34,3.58,,ENSG00000070756,PABPC1,3.06
ENSG00000132819,RBM38,5.25,,ENSG00000090621,PABPC4,3.70
ENSG00000131051,RBM39,6.74,,ENSG00000100836,PABPN1,4.17
ENSG00000126254,RBM42,4.39,,ENSG00000169564,PCBP1,4.57
ENSG00000155636,RBM45,2.32,,ENSG00000197111,PCBP2,2.05
ENSG00000163694,RBM47,2.32,,ENSG00000100410,PHF5A,3.32
ENSG00000173914,RBM4B,4.25,,ENSG00000100941,PNN,2.30
ENSG00000003756,RBM5,4.58,,ENSG00000100227,POLDIP3,5.86
ENSG00000004534,RBM6,7.86,,ENSG00000181222,POLR2A,2.50
ENSG00000076053,RBM7,2.32,,ENSG00000047315,POLR2B,2.00
ENSG00000147274,RBMX,9.25,,ENSG00000130810,PPAN,3.17
ENSG00000213516,RBMXL1,3.46,,ENSG00000131013,PPIL4,4.81
ENSG00000205937,RNPS1,4.52,,ENSG00000227804,PPP1R10,5.25
ENSG00000167526,RPL13,3.17,,ENSG00000253729,PRKDC,4.86
ENSG00000188846,RPL14,2.91,,ENSG00000134748,PRPF38A,2.58
ENSG00000174748,RPL15,3.81,,ENSG00000196504,PRPF40A,2.00
ENSG00000063177,RPL18,3.81,,ENSG00000112739,PRPF4B,2.76
ENSG00000116251,RPL22,3.17,,ENSG00000228186,PRR3,2.00
ENSG00000198242,RPL23A,3.91,,ENSG00000231825,PRRC2A,4.78
ENSG00000162244,RPL29,2.81,,ENSG00000117523,PRRC2C,4.91
ENSG00000100316,RPL3,3.00,,ENSG00000121390,PSPC1,7.80
ENSG00000071082,RPL31,2.58,,ENSG00000011304,PTBP1,6.12
ENSG00000174444,RPL4,4.17,,ENSG00000117569,PTBP2,4.17
ENSG00000122406,RPL5,2.32,,ENSG00000119314,PTBP3,6.30
ENSG00000089009,RPL6,3.91,,ENSG00000106246,PTCD1,2.32
ENSG00000147604,RPL7,2.32,,ENSG00000132300,PTCD3,5.04
ENSG00000260501,RPL7A,1.58,,ENSG00000260485,PUF60,6.70
ENSG00000146223,RPL7L1,2.00,,ENSG00000134644,PUM1,5.25
ENSG00000161016,RPL8,4.58,,ENSG00000055917,PUM2,2.58
ENSG00000101413,RPRD1B,5.58,,ENSG00000112531,QKI,4.39
